dimacs-analyzer,dimacs-analyzer-time,dimacs-file,iteration,model-satisfiable
sat-competition/02-zchaff,28591105,kconfigreader/linux/v2.5.45[i386].dimacs,1,true
sat-competition/02-zchaff,26733080,kconfigreader/linux/v2.5.54[i386].dimacs,1,true
sat-competition/02-zchaff,35220165,kconfigreader/linux/v2.6.1[i386].dimacs,1,true
sat-competition/02-zchaff,45784963,kconfigreader/linux/v2.6.11[i386].dimacs,1,true
sat-competition/02-zchaff,55658457,kconfigreader/linux/v2.6.15[i386].dimacs,1,true
sat-competition/02-zchaff,74170537,kconfigreader/linux/v2.6.20[i386].dimacs,1,true
sat-competition/02-zchaff,99575689,kconfigreader/linux/v2.6.24[x86].dimacs,1,true
sat-competition/02-zchaff,126395901,kconfigreader/linux/v2.6.29[x86].dimacs,1,true
sat-competition/02-zchaff,134911641,kconfigreader/linux/v2.6.33[x86].dimacs,1,true
sat-competition/02-zchaff,164482945,kconfigreader/linux/v2.6.37[x86].dimacs,1,true
sat-competition/02-zchaff,175292259,kconfigreader/linux/v3.2[x86].dimacs,1,true
sat-competition/02-zchaff,189481236,kconfigreader/linux/v3.8[x86].dimacs,1,true
sat-competition/02-zchaff,216313122,kconfigreader/linux/v3.13[x86].dimacs,1,true
sat-competition/02-zchaff,245952313,kconfigreader/linux/v3.19[x86].dimacs,1,true
sat-competition/02-zchaff,270313941,kconfigreader/linux/v4.4[x86].dimacs,1,true
sat-competition/02-zchaff,320660501,kconfigreader/linux/v4.10[x86].dimacs,1,true
sat-competition/02-zchaff,342856531,kconfigreader/linux/v4.15[x86].dimacs,1,true
sat-competition/02-zchaff,397440461,kconfigreader/linux/v5.0[x86].dimacs,1,true
sat-competition/02-zchaff,440833056,kconfigreader/linux/v5.5[x86].dimacs,1,true
sat-competition/02-zchaff,490512747,kconfigreader/linux/v5.11[x86].dimacs,1,true
sat-competition/02-zchaff,510255899,kconfigreader/linux/v5.16[x86].dimacs,1,true
sat-competition/02-zchaff,612303163,kconfigreader/linux/v6.2[x86].dimacs,1,true
sat-competition/02-zchaff,661037747,kconfigreader/linux/v6.7[x86].dimacs,1,true
sat-competition/02-zchaff,8899264,kmax/linux/v2.5.45[i386].dimacs,1,true
sat-competition/02-zchaff,8652205,kmax/linux/v2.5.54[i386].dimacs,1,true
sat-competition/02-zchaff,10605679,kmax/linux/v2.6.1[i386].dimacs,1,true
sat-competition/02-zchaff,13063892,kmax/linux/v2.6.11[i386].dimacs,1,true
sat-competition/02-zchaff,16943989,kmax/linux/v2.6.15[i386].dimacs,1,true
sat-competition/02-zchaff,20885732,kmax/linux/v2.6.20[i386].dimacs,1,true
sat-competition/02-zchaff,27729214,kmax/linux/v2.6.24[x86].dimacs,1,true
sat-competition/02-zchaff,39298105,kmax/linux/v2.6.29[x86].dimacs,1,true
